offer_id,agency,office_city
JuLecgRv95A,"RES GROUP, s.r.o.",Žilina
JuzjcjA88fI,"Fortio Popper s.r.o.",Bytča
JuR9IQwr1DX,"MGM reality",Žilina
JueQeTeryjC,NULL,NULL
JufbBHYx-coz,"AstonReal s.r.o.","Banská Bystrica"
JusEglMU0v8,"HD reality group s.r.o","Banská Bystrica"
JuHU9WStTAs,"B10 Slovensko, a. s.",Žilina
Ju-48631_aJ,"RK Dalmia s. r. o.","Dolný Kubín"
JujzGN4k6bn,"Reality Alpia",Martin
JuyUZh4v08L,NULL,NULL
Ju9d7v-lee8,"OREA, s.r.o.","Dolný Kubín"
JuvALHP6cN9,"Safe reality s. r. o.",Žilina
Ju8a3kcGYvG,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jue47kLBSm8,"Vianema s.r.o.",Bratislava
JucquL8E-bM,NULL,NULL
Jui14FUG-ZO,"TUreality s.r.o.",Žilina
JuTiIF5zkxo3,"VAŠA REALITKA s.r.o.",Ružomberok
JuFpZug_t62,"TRI LIPY, s. r. o.",Čadca
JuUnWH-g8Yz,"Realitné kancelárie SR",Bratislava
JuUCL8fPL9h,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuV8a82JG_s,NULL,NULL
JuvjDSTvTKy,"GAMA Reality, s.r.o.",Bytča
Ju3gs_noUEz,NULL,NULL
JuXcyij9eMf_,"Financial Hotels Management, s.r.o.",Žilina
JufYiP4E7Es,"ROMDOM, s. r. o",Žilina
JuKkjtqN4VW,"RE/MAX Slovakia",Bratislava
JuH-SEIASle,"ODEKO manažment s.r.o.",Žilina
Ju_IBACCGzT,"Vianema s.r.o.",Bratislava
Ju_7fjs1rDI,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuO3IQpQk2Q,"SLNOVRAT, s.r.o.",Olešná
JukCOBdi-HG,"RIEŠIME BÝVANIE",Bratislava
JuatrleUyRX,"AstonReal s.r.o.","Banská Bystrica"
JuqBZCEixbC,"Reality Alpia",Martin
JuCuiefKh4P,Reality+,Žilina
JucFUY5N5xW,"TARGETreal s. r. o.",Žilina
JuSPwAqNDjb,"OREA, s.r.o.","Dolný Kubín"
JujrtOK9Ltj,"Safe reality s. r. o.",Žilina
Ju2TzdFfXkg,"Renovo Reality",Žilina
JuVO5WLrTZ3,"Safe reality s. r. o.",Žilina
JuC08OMa82u,"RIEŠIME BÝVANIE",Bratislava
Jupw1bQT1Jh,"Reinoo a.s.",Žilina
JuFqSi2fYOk,"HOLESTIAK.sk reality s.r.o.",Čadca
JunnFbGwfA5,"Wealth Group, s.r.o.","Nová Dedinka"
JuFv7NTgqug,"Ing. Gerlinda Bérešová - Esti",Žilina
JuxZgQdKO7u,"PRIMA reality s.r.o.",Žilina
Ju0iFsZ1mnv,"Bosen Group s.r.o.",Bratislava
JuN4KXjUyk-,"JPE. Reality - Jozef Pajer",Čadca
JuWV1dgtiBd,"Reality Alpia",Martin
Judmv08qh2A,"RIEŠIME BÝVANIE",Bratislava
JugXYWqkt4N,"Reality ASTORIA, s.r.o.",Martin
JuqvNgpYqrd,"OREA, s.r.o.","Dolný Kubín"
Ju_Lr-2Vc09,"TUreality s.r.o.",Žilina
JubDtFpPZPz,"Reality MT s.r.o.",Martin
Ju46Wlvz4BP,"Trioreality, s.r.o.",Čadca
Jus8fVVapj9,"CANGURU s.r.o.","Rajecké Teplice"
JurldwLKNhM,"A-Byt Consult, s.r.o.",Ružomberok
JulollxgJp5,"CANGURU s.r.o.","Rajecké Teplice"
JupBjnV0coU,"1. Reality Rent, s.r.o.",Žilina
JuqAM-ZO9ir,NULL,NULL
Ju5VjRRX_4J,NULL,NULL
Juarr5O2upK,"Istrofinal, s. r. o.",Žilina
JuXRtZdfweI,"Reality Center, s.r.o.",Martin
JuNZupA7Ru4,"ŽILINAREAL, s.r.o.",Žilina
JuA8-pf41pn,"Reality Alpia",Martin
JumbMyGo4iI,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuaCjfZIx81,"ODEKO manažment s.r.o.",Žilina
JuUnD0myJmK,"Piata Avenue",Žilina
JuIP59md355,"ODEKO manažment s.r.o.",Žilina
JuIh9K2txJ3,"BeMi realitná kancelária",Nitra
Jub5nNi4yTF,"RIEŠIME BÝVANIE",Bratislava
Juqj8-BDIgQ,"OREA, s.r.o.","Dolný Kubín"
JuQfQh_4sSF,"MGM reality",Žilina
JujYXXx5gXi,NULL,NULL
JuxBkaifl6df,"Reality Alpia",Martin
JugTLMsHTVi,"B10 Slovensko, a. s.",Žilina
Jul7be3Lkz5,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuPT1z2mBzV,"R2 SK, s.r.o.",Žilina
Ju4hZgzLszu,NULL,NULL
JuKlHRPhAEF,"HALO reality, s.r.o.",Prievidza
JuvFESSKGWN,"Reality D.P.A.",Martin
JusgW9odCAS,Time4dreams,Nitra
Juvk9S_5ltU,NULL,NULL
JunBqR0DBP9,NULL,NULL
JuDCMQupxo0,"TUreality s.r.o.",Žilina
JuQnZXQrlxH,"Reality Alpia",Martin
JufAeKZk5m-,"Direct Real, spol. s r.o.",Bratislava
JuNguQDV0Zn,"Direct Real, spol. s r.o.",Bratislava
JuKOtZwcbir-,"Reality Alpia",Martin
JuMm4AW_gBf,"Reality IQ, s.r.o.",Žilina
JuSYwKOlQ-6,"Nové bývanie",Nitra
JuZqtWo-t_S,"Prvá Realitná Kancelária, s.r.o.",Bratislava
JuJCzmrTicR,NULL,NULL
JumsfvMXhg-,"Direct Real, spol. s r.o.",Bratislava
JuymkoAFG_6,"HOLESTIAK.sk reality s.r.o.",Čadca
JucOec67NRR,"Vianema s.r.o.",Bratislava
JuyOHLJxsdS,"Local reality s. r. o.",Malinovo
Ju_yl2A922o,NULL,NULL
JuDoLB83xqT,"HALO reality, s.r.o.",Prievidza
JuQvJ7BykSU,"WFG reality, s.r.o.",Žilina
JucOhPXEpxa,NULL,NULL
JuFqVxR2Rua,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuLEeBcqSvN,"Fortio Popper s.r.o.",Bytča
JuHLqjLk9w7,"1. Reality Rent, s.r.o.",Žilina
Juhlf1Su_tu,"RIEŠIME BÝVANIE",Bratislava
Ju4aGAgIjVo,"LIF REAL",Martin
JuHC3L7PHAo,"RE/MAX Slovakia",Bratislava
Ju4nG9JDEKF,"TUreality s.r.o.",Žilina
JuxsO06uVZG,"Realitná kancelária SYMPATIA REAL s. r. o.",Žilina
JuxQsJlXHSK,"Fortio Popper s.r.o.",Bytča
JuJrBHwvfXe,"AstonReal s.r.o.","Banská Bystrica"
JuVk3AeemQd,"Istrofinal, s. r. o.",Žilina
JucIMMNEosV,"A-Byt Consult, s.r.o.",Ružomberok
Ju2EMTkOn53,"Reinoo a.s.",Žilina
JuYbhGZmbC7,"Obec Liptovská Lúžna","Liptovská Lúžna"
JucmUHZL9fQ,NULL,NULL
Ju59v0S7Gi9,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju4SvmwHoAg,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuJBn5ZeVAm,"Realitná kancelária",Bratislava
Juk9u-rNEqG,"Fortio Popper s.r.o.",Bytča
JuNRFKe9B5N6,"TARGETreal s. r. o.",Žilina
JuG99-vnL8U,"Reality Alpia",Martin
JuvzAFSDr4x,"Realitná kancelária",Bratislava
JuDorfwK08d,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jul_OGhX8QT,"Piešťany Reality",Piešťany
Ju7UFzA6VtL,"WFG reality, s.r.o.",Žilina
Ju9qrQrSqzm,NULL,NULL
Ju4Vd5pUjXm,"Direct Real, spol. s r.o.",Bratislava
JuA1jb9HH8o,"Reality Alpia",Martin
JuVp8M6bnwG,"ŠIRINY, s.r.o.",Zvolen
JuKJT8WJuFF,"HOLESTIAK.sk reality s.r.o.",Čadca
Ju8mh8KzH4f,"Realitná kancelária Peter Hubka","Liptovský Mikuláš"
Ju9k2e7JWOr,"Like Reality s.r.o.","Považská Bystrica"
JuXNm9NwSwi,"MGM reality",Žilina
JuOnQ9rym-h,"RIEŠIME BÝVANIE",Bratislava
JuFNpzHutiG,"TUreality s.r.o.",Žilina
JuZ8UmPHnMd,"SLNOVRAT, s.r.o.",Olešná
JuWLCChouGh,"TARGETreal s. r. o.",Žilina
JuS6qI_HXQ_,"1. Reality Rent, s.r.o.",Žilina
JuvIFSCKDaN,"TUreality s.r.o.",Žilina
JuJITXm9Zsf,"ARBIZ real estate & finance s. r. o.",Ružomberok
JueaFakyLvY,"KORSO Project, s.r.o.",Žilina
Ju1F-eiNHx4,"RIEŠIME BÝVANIE",Bratislava
JuL3MT7o1WL,"Realitná kancelária",Bratislava
Ju_qGSnLBzz,NULL,NULL
JuhigkHR5x2,"Occam New Home",Bratislava
Ju5eub1EsyB,"Gro & Partners",Žilina
JuDetN4gLGy,"Tatra Invest",Podtureň
JuxJN0jj6xv,"Reality AK, spol. s r.o.",Martin
JuQY1ZnmE4m,"OREA, s.r.o.","Dolný Kubín"
Ju9zHP-4dng,"HALO reality, s.r.o.",Prievidza
JuTy8iCXD6j,"Reality AK, spol. s r.o.",Martin
JuMhyPasgwl,"B10 Slovensko, a. s.",Žilina
JuPet_Ep-JW,"TUreality s.r.o.",Žilina
JuGJ3bcseaG,"Renovo Reality",Žilina
JuI3iwt9MRR,"OREA, s.r.o.","Dolný Kubín"
JumSU3uP1r7,NULL,NULL
JuCyeszuCeF,NULL,NULL
JuDZ3hA20uQ,"TUreality s.r.o.",Žilina
Ju1Cm4LoVXM,NULL,NULL
JuOOVFGvzwX,Limaxreal,"Liptovský Mikuláš"
JuuuYAHYGX8,NULL,NULL
Juw69usHNF6,"R2 SK, s.r.o.",Žilina
Jup6mGYDCrv,"Reality Center, s.r.o.",Martin
Ju5R24o6GQR,"RK Dalmia s. r. o.","Dolný Kubín"
Ju8_AnIgnrX,"MENÍME BÝVANIE",Čadca
JuY4e0DxXsH,"OREA, s.r.o.","Dolný Kubín"
Jue5OG4Sl5k,NULL,NULL
Juo19uqWHqv,"Reality MT s.r.o.",Martin
JumQaXesU-y,"Realitné kancelárie SR",Bratislava
JuEVg7e9gge,"R2 SK, s.r.o.",Žilina
JuXIzNjmik_,"Realitné kancelárie SR",Bratislava
Juv94EKwgh6,"AstonReal s.r.o.","Banská Bystrica"
JukKH41KaWr,"TUreality s.r.o.",Žilina
JuhxRDKuEfi,donidDevelop,"Dolný Kubín"
JuRJykTdszG,"JKV REAL",Prievidza
JuDJ_hnDscM,"Realitná kancelária",Bratislava
JulzEF1iR1R,"ŽILINAREAL, s.r.o.",Žilina
Jus2f1I5Shb,"MGM reality",Žilina
JuWzCETm2y0,"SLNOVRAT, s.r.o.",Olešná
Ju12shpSBga,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuXnw8EKWYI,"RS Mansory s.r.o.",Bratislava
JuJM07aUO0O,"RIEŠIME BÝVANIE",Bratislava
JuVtdEgquxp,"OREA, s.r.o.","Dolný Kubín"
JuP6qyzD4rb,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuP-xJVwuxh,"B10 Slovensko, a. s.",Žilina
Ju2skZ_XIuH,NULL,NULL
JuxYMJGR4NW,"OVERENÉ REALITY","Banská Bystrica"
JuWx4I1iGWR,"BeMi realitná kancelária",Nitra
Jubx4f_wHQY,"RK4 REALITY",Bratislava
JuBjT8MmAiR,"Istrofinal, s. r. o.",Žilina
Ju8qAJxGCh0,"Mgr. Silvia Lukáčová - RealPoint",Martin
Ju-DovddXIY,"RE/MAX Slovakia",Bratislava
Ju6ap4Twr5W,NULL,NULL
JuVlvDHUEHV,"OREA, s.r.o.","Dolný Kubín"
JukzS9fkGsH,"Safe reality s. r. o.",Žilina
Jum2zoM9dK0,"Reinoo a.s.",Žilina
JuwxWNhZHvq,"DreamReality s.r.o.",Žilina
JuNh7AtADFs,"MGM reality",Žilina
JuoVEcjPg5o,"RE/MAX Slovakia",Bratislava
JuyUHlMcv_Q,"Realitná kancelária RED, s.r.o.",Žilina
JuXQxA2vSe6,"EASY centrum bývania, s.r.o.",Žilina
Jufd89QZCSO,"PASS Reality, s.r.o.",Bratislava
Ju2hVjHchsA,"Buby reality, s.r.o.",Žilina
Ju9Zm5FKDvx,"Realitná kancelária RED, s.r.o.",Žilina
Ju_q6RS-fKo,"OREA, s.r.o.","Dolný Kubín"
Jutomv1SERc,"Reality Alpia",Martin
Jukc07qMxPz,"Realitná kancelária RED, s.r.o.",Žilina
JuZPdvGyLq9,"TUreality s.r.o.",Žilina
Ju8xVwtKo3R,"BeMi realitná kancelária",Nitra
JuIK5SS5weX,"Like Reality s.r.o.","Považská Bystrica"
JuzzHVLtL7p,"Vianema s.r.o.",Bratislava
Ju7J-Smt48P,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuvxR6XXHxE,"Fortio Popper s.r.o.",Bytča
JuRuuJuhfW8,"Like Reality s.r.o.","Považská Bystrica"
JuZK70yldNu,"OVERENÉ REALITY","Banská Bystrica"
JuzSqFzglhO,Reality+,Žilina
JuT8ujDpM1g,"WFG reality, s.r.o.",Žilina
JuzmSjYalDj,"Like Reality s.r.o.","Považská Bystrica"
Ju6pkdVbtRp,"NajBývanie, s.r.o.",Ružomberok
JudnXUbr0fH,"REALITY TATRY",Levoča
JuBIZmW7FwQ,NULL,NULL
JuPDRHaKHGy,"ŽILINAREAL, s.r.o.",Žilina
JuD8hcoEgT4,"Realitná kancelária RED, s.r.o.",Žilina
JukBZSTP0a5,"TARGETreal s. r. o.",Žilina
Ju1AcChzPhX,"REALITY SPOLU",Bratislava
JuE-VhHgCax,"Bonjour real",Bučany
JuBAitX8aRy,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuYm2hUT2pj,"ALT REAL, s.r.o.",Martin
Ju6opeOUPUx,"Realitné kancelárie SR",Bratislava
JuvmTUfehMc,Reality+,Žilina
JuaMkijSYs-,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuZL3wORd4j,"DVOŘÁK & PARTNERS s. r. o.","Banská Bystrica"
JunBxeMXtVv,"RIEŠIME BÝVANIE",Bratislava
JufXt9veplf,"B10 Slovensko, a. s.",Žilina
Ju1v-rz6S-g,"TUreality s.r.o.",Žilina
JuK8NkfUxDo,"LICITOR group, a.s.",Žilina
JuhvRDg8Y4C,"RIEŠIME BÝVANIE",Bratislava
JuqqisVRKbE,"GERT , s.r.o.","Liptovský Mikuláš"
JupIznadChw,"B10 Slovensko, a. s.",Žilina
JuCtiU-W9oK,"BEEVAM, s.r.o.","Banská Bystrica"
JuQUQOdCbAJ,"Reality IQ, s.r.o.",Žilina
JuEGUe9TZYw,"WFG reality, s.r.o.",Žilina
JuJTUgZNUdL,"Reality D.P.A.",Martin
JugdzCpEbZl,"KES - RV s.r.o.",Rožňava
JuJ1fx159Ms,OPENREALITY,Brno
JuUWRcxAAYr,"KA Real","Banská Bystrica"
JucFSMwZ-YV,"Reality Center, s.r.o.",Martin
JuHBGisy5-E,"NajBývanie, s.r.o.",Ružomberok
JuInv_n4G9P,"Teraz, a.s.",Žilina
JuUFq9Wci3W,"Reality Alpia",Martin
JuBnUuJa9ic,"Financial Hotels Management, s.r.o.",Žilina
Ju2txZynSMnS,"TUreality s.r.o.",Žilina
Jucm4yaaOJ2,"RK Dalmia s. r. o.","Dolný Kubín"
JuT9LmGMkpW,jabyvam.sk,"Liptovský Mikuláš"
JuuOQAIf3eQ,"WFG reality, s.r.o.",Žilina
JuhSIJae8jB,"Porto Real Group",Bratislava
Ju20KERTu8I,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuGfHZevCsA,"Realitná kancelária DR, s.r.o.",Martin
JufXjo0g1k9,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuPNe1hyDeq,"Fortio Popper s.r.o.",Bytča
Jumt5qe1Qm47,"AstonReal s.r.o.","Banská Bystrica"
JuI6MQ6tc2T,"BeMi realitná kancelária",Nitra
Ju4eeNbxgyr,"Realitná kancelária RED, s.r.o.",Žilina
JuN3wzC2QtN,"Like Reality s.r.o.","Považská Bystrica"
JuZdOmvD2ic,"Istrofinal, s. r. o.",Žilina
JuQG3Tg2HJV,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
Ju7i7kUX31N,"RE/MAX Slovakia",Bratislava
JuT7xzp7Ax-,AZUR.RE,Bratislava
JuTL4AQg4bH,"Reality ASTORIA, s.r.o.",Martin
JuYNcMLobvd,NULL,NULL
JuCgojI4KWH,"Trioreality, s.r.o.",Čadca
JukjSccuSX6,"TUreality s.r.o.",Žilina
JuvuB2q_3M4,"Tatry mountain resorts, a.s.","Liptovský Mikuláš"
Jum788VaVl8,"WFG reality, s.r.o.",Žilina
JuRDv8rOGAN,"Fortio Popper s.r.o.",Bytča
JuguMiG6Pot,"Euro Bauer s.r.o.",Žilina
JunSqXxyUya,"WFG reality, s.r.o.",Žilina
Juzl0Ycup_I,donidDevelop,"Dolný Kubín"
JuMrpN3u-gh,"Reality Alpia",Martin
JuG-jkKlogR,"Reality Alpia",Martin
Ju-seNslb4u,"Realitná kancelária RED, s.r.o.",Žilina
JuKxd6XdpfQ,NULL,NULL
JuddoVYZYie,Limaxreal,"Liptovský Mikuláš"
Ju4lN_U1N_8,"ARBIZ real estate & finance s. r. o.",Ružomberok
JuNQHesGhEl,"Istrofinal, s. r. o.",Žilina
Juv6SZd0pv9,"Reality AK, spol. s r.o.",Martin
Ju01CyxoHbS,"KORSO Project, s.r.o.",Žilina
JuQxdKNuhGj,"Piata Avenue",Žilina
JuMc4nt1NbY,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuykyParod3,"RENOME REAL",Žilina
Ju4N6fIAndO,"TUreality s.r.o.",Žilina
JuiNHN3K-2n,"SLNOVRAT, s.r.o.",Olešná
JucceUznreI,"BEŇO REALITY","Liptovský Mikuláš"
JuzGrB3SDsa,"Felicita Real s. r. o.",Martin
JuCJs2os-i-x,"Buby reality, s.r.o.",Žilina
Ju3z3M9TPDa,"GAMA Reality, s.r.o.",Bytča
JuDxBcaveH8,"Reality Center, s.r.o.",Martin
Ju_5trjiiyY,"Piata Avenue",Žilina
Juo9yc6U_zm,"BeMi realitná kancelária",Nitra
JueZYUzuLYA,"OREA, s.r.o.","Dolný Kubín"
