offer_id,property_type,condition,price_m2,location_district,location_city,location_area
JuLecgRv95A,"3-room apartment","fully renovated",4196.26,"okres Žilina",Žilina,Bôrik
JufbBHYx-coz,"1-room apartment","new construction",2716.67,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JusEglMU0v8,"3-room apartment",unrenovated,2013.04,"okres Martin",Martin,Jahodníky
JuHU9WStTAs,"3-room apartment","fully renovated",NULL,"okres Martin",Necpaly,Necpaly
Ju-48631_aJ,"3-room apartment",unrenovated,2037.91,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
Ju9d7v-lee8,"3-room apartment","new construction",2698.11,"okres Tvrdošín",Zuberec,Zuberec
JuvALHP6cN9,"2-room apartment","partially renovated",2446.43,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Jue47kLBSm8,"3-room apartment","new construction",1430.69,"okres Čadca",Čadca,Centrum
Jui14FUG-ZO,"3-room apartment","partially renovated",NULL,"okres Turčianske Teplice",Rakša,Rakša
JuFpZug_t62,"1-room apartment","new construction",3770.97,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuUnWH-g8Yz,"3-room apartment","new construction",2461.12,"okres Žilina",Žilina,"Staré mesto"
JuV8a82JG_s,"4-room apartment","new construction",3560.27,"okres Žilina",Žilina,"Staré mesto"
JuvjDSTvTKy,"2-room apartment","fully renovated",3000.00,"okres Bytča","Veľké Rovné","Veľké Rovné"
JuXcyij9eMf_,"3-room apartment","new construction",4302.34,"okres Žilina",Žilina,"Staré mesto"
JufYiP4E7Es,"3-room apartment","partially renovated",2265.33,"okres Žilina",Žilina,Hliny
JuKkjtqN4VW,"2-room apartment","fully renovated",3035.54,"okres Martin",Martin,Stred
JuH-SEIASle,"3-room apartment","under construction",2964.40,"okres Ružomberok",Ružomberok,Roveň
Ju_7fjs1rDI,"2-room apartment","new construction",NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuO3IQpQk2Q,"2-room apartment","fully renovated",1664.91,"okres Čadca",Makov,Makov
JukCOBdi-HG,"3-room apartment","fully renovated",2769.88,"okres Žilina",Žilina,Vlčince
JuCuiefKh4P,"4-room apartment",unrenovated,NULL,"okres Martin",Martin,Priekopa
JucFUY5N5xW,"3-room apartment","partially renovated",1687.50,"okres Martin",Martin,Priekopa
JuSPwAqNDjb,"2-room apartment","new construction",4137.93,"okres Ružomberok",Ružomberok,Hrabovo
JujrtOK9Ltj,"3-room apartment",unrenovated,2242.68,"okres Žilina",Žilina,"Staré mesto"
Ju2TzdFfXkg,"2-room apartment","partially renovated",NULL,"okres Žilina",Žilina,"Staré mesto"
JuVO5WLrTZ3,"2-room apartment","partially renovated",2165.00,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuC08OMa82u,"4-room apartment","new construction",2263.80,"okres Žilina",Žilina,Hájik
Jupw1bQT1Jh,"3-room apartment","new construction",2946.01,"okres Žilina",Žilina,Vlčince
JuFqSi2fYOk,"2-room apartment","fully renovated",2398.11,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie
JuFv7NTgqug,"holiday apartment","fully renovated",1652.17,"okres Čadca",Makov,Makov
JuxZgQdKO7u,"2-room apartment","new construction",3082.22,"okres Bytča",Bytča,"Veľká Bytča"
