offer_id,offer_type,property_type,area,condition,location_district,location_city,location_area,built_in
JuLecgRv95A,sale,"3-room apartment",107,"fully renovated","okres Žilina",Žilina,Bôrik,NULL
JuzjcjA88fI,rent,"2-room apartment",62,"fully renovated","okres Bytča",Bytča,"Veľká Bytča",2025
JuR9IQwr1DX,rent,"3-room apartment",68,"new construction","okres Žilina",Žilina,Hliny,2008
JueQeTeryjC,rent,"4-room apartment",90,"fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec,NULL
JufbBHYx-coz,sale,"1-room apartment",60,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto",2022
JusEglMU0v8,sale,"3-room apartment",69,unrenovated,"okres Martin",Martin,Jahodníky,1979
JuHU9WStTAs,sale,"3-room apartment",80,"fully renovated","okres Martin",Necpaly,Necpaly,1980
Ju-48631_aJ,sale,"3-room apartment",63,unrenovated,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec",1973
JujzGN4k6bn,rent,"2-room apartment",65,"fully renovated","okres Martin",Martin,Sever,2025
JuyUZh4v08L,rent,"2-room apartment",49,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,NULL
Ju9d7v-lee8,sale,"3-room apartment",106,"new construction","okres Tvrdošín",Zuberec,Zuberec,2025
JuvALHP6cN9,sale,"2-room apartment",56,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,1980
Ju8a3kcGYvG,rent,"2-room apartment",50,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,NULL
Jue47kLBSm8,sale,"3-room apartment",202,"new construction","okres Čadca",Čadca,Centrum,NULL
JucquL8E-bM,rent,"3-room apartment",NULL,"fully renovated","okres Martin",Martin,Stred,NULL
Jui14FUG-ZO,sale,"3-room apartment",76,"partially renovated","okres Turčianske Teplice",Rakša,Rakša,1980
JuTiIF5zkxo3,rent,"2-room apartment",65,"fully renovated","okres Dolný Kubín","Dolný Kubín",Záskalie,2000
JuFpZug_t62,sale,"1-room apartment",31,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,2023
JuUnWH-g8Yz,sale,"3-room apartment",109,"new construction","okres Žilina",Žilina,"Staré mesto",2009
JuUCL8fPL9h,rent,"studio apartment",36,"fully renovated","okres Martin",Vrútky,"Horné Vrútky",NULL
JuV8a82JG_s,sale,"4-room apartment",101,"new construction","okres Žilina",Žilina,"Staré mesto",NULL
JuvjDSTvTKy,sale,"2-room apartment",45,"fully renovated","okres Bytča","Veľké Rovné","Veľké Rovné",2022
Ju3gs_noUEz,rent,"2-room apartment",45,"new construction","okres Čadca","Krásno nad Kysucou",Kalinov,NULL
