offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west,offer_type,property_type,area,condition,location_district,location_city,location_area
JuLecgRv95A,"upper floor",19,24,yes,NULL,NULL,NULL,yes,yes,NULL,sale,"3-room apartment",107,"fully renovated","okres Žilina",Žilina,Bôrik
JuzjcjA88fI,"upper floor",3,6,NULL,2025,A,NULL,NULL,NULL,yes,rent,"2-room apartment",62,"fully renovated","okres Bytča",Bytča,"Veľká Bytča"
JuR9IQwr1DX,NULL,NULL,NULL,NULL,2008,"not available",NULL,NULL,NULL,NULL,rent,"3-room apartment",68,"new construction","okres Žilina",Žilina,Hliny
JueQeTeryjC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rent,"4-room apartment",90,"fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec
JufbBHYx-coz,"ground floor",NULL,NULL,NULL,2022,A,NULL,NULL,NULL,NULL,sale,"1-room apartment",60,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JusEglMU0v8,"top floor",4,4,NULL,1979,"not available",NULL,yes,NULL,yes,sale,"3-room apartment",69,unrenovated,"okres Martin",Martin,Jahodníky
JuHU9WStTAs,"upper floor",NULL,NULL,NULL,1980,NULL,NULL,NULL,NULL,NULL,sale,"3-room apartment",80,"fully renovated","okres Martin",Necpaly,Necpaly
Ju-48631_aJ,"top floor",10,10,NULL,1973,"not available",NULL,NULL,NULL,NULL,sale,"3-room apartment",63,unrenovated,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JujzGN4k6bn,"upper floor",8,NULL,yes,2025,"not available",NULL,NULL,NULL,NULL,rent,"2-room apartment",65,"fully renovated","okres Martin",Martin,Sever
JuyUZh4v08L,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rent,"2-room apartment",49,"new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju9d7v-lee8,"top floor",4,4,NULL,2025,"not available",NULL,NULL,NULL,NULL,sale,"3-room apartment",106,"new construction","okres Tvrdošín",Zuberec,Zuberec
JuvALHP6cN9,"upper floor",3,4,NULL,1980,"not available",NULL,NULL,NULL,NULL,sale,"2-room apartment",56,"partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju8a3kcGYvG,"ground floor",1,5,yes,NULL,A,NULL,NULL,NULL,NULL,rent,"2-room apartment",50,"new construction","okres Dolný Kubín","Dolný Kubín",Brezovec
Jue47kLBSm8,"upper floor",5,5,yes,NULL,NULL,NULL,NULL,NULL,NULL,sale,"3-room apartment",202,"new construction","okres Čadca",Čadca,Centrum
JucquL8E-bM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rent,"3-room apartment",NULL,"fully renovated","okres Martin",Martin,Stred
Jui14FUG-ZO,NULL,NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,sale,"3-room apartment",76,"partially renovated","okres Turčianske Teplice",Rakša,Rakša
JuTiIF5zkxo3,"ground floor",1,1,NULL,2000,"not available",NULL,NULL,NULL,NULL,rent,"2-room apartment",65,"fully renovated","okres Dolný Kubín","Dolný Kubín",Záskalie
JuFpZug_t62,"upper floor",4,7,NULL,2023,A,NULL,yes,yes,NULL,sale,"1-room apartment",31,"new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuUnWH-g8Yz,"upper floor",3,NULL,yes,2009,NULL,NULL,NULL,NULL,NULL,sale,"3-room apartment",109,"new construction","okres Žilina",Žilina,"Staré mesto"
JuUCL8fPL9h,"ground floor",1,2,NULL,NULL,B,NULL,NULL,NULL,NULL,rent,"studio apartment",36,"fully renovated","okres Martin",Vrútky,"Horné Vrútky"
JuV8a82JG_s,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sale,"4-room apartment",101,"new construction","okres Žilina",Žilina,"Staré mesto"
JuvjDSTvTKy,attic,2,2,NULL,2022,"not available",NULL,NULL,yes,yes,sale,"2-room apartment",45,"fully renovated","okres Bytča","Veľké Rovné","Veľké Rovné"
Ju3gs_noUEz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,rent,"2-room apartment",45,"new construction","okres Čadca","Krásno nad Kysucou",Kalinov
JuXcyij9eMf_,"upper floor",5,10,yes,2027,"not available",NULL,yes,NULL,yes,sale,"3-room apartment",67,"new construction","okres Žilina",Žilina,"Staré mesto"
JufYiP4E7Es,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,sale,"3-room apartment",75,"partially renovated","okres Žilina",Žilina,Hliny
JuKkjtqN4VW,"upper floor",3,3,NULL,1900,"not available",NULL,NULL,NULL,NULL,sale,"2-room apartment",56,"fully renovated","okres Martin",Martin,Stred
JuH-SEIASle,"top floor",8,8,NULL,2025,A,NULL,NULL,NULL,NULL,sale,"3-room apartment",69,"under construction","okres Ružomberok",Ružomberok,Roveň
