offer_id,property_type,area,price_m2,condition,position,floor,elevator,built_in,energy_certificate,north,south,east,west,location_district,location_city,location_area,agency,office_city
JuLecgRv95A,"3-room apartment",107,4196.26,"fully renovated","upper floor",19,yes,NULL,NULL,NULL,yes,yes,NULL,"okres Žilina",Žilina,Bôrik,"RES GROUP, s.r.o.",Žilina
JufbBHYx-coz,"1-room apartment",60,2716.67,"new construction","ground floor",NULL,NULL,2022,A,NULL,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","AstonReal s.r.o.","Banská Bystrica"
JusEglMU0v8,"3-room apartment",69,2013.04,unrenovated,"top floor",4,NULL,1979,"not available",NULL,yes,NULL,yes,"okres Martin",Martin,Jahodníky,"HD reality group s.r.o","Banská Bystrica"
JuHU9WStTAs,"3-room apartment",80,NULL,"fully renovated","upper floor",NULL,NULL,1980,NULL,NULL,NULL,NULL,NULL,"okres Martin",Necpaly,Necpaly,"B10 Slovensko, a. s.",Žilina
Ju-48631_aJ,"3-room apartment",63,2037.91,unrenovated,"top floor",10,NULL,1973,"not available",NULL,NULL,NULL,NULL,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","RK Dalmia s. r. o.","Dolný Kubín"
Ju9d7v-lee8,"3-room apartment",106,2698.11,"new construction","top floor",4,NULL,2025,"not available",NULL,NULL,NULL,NULL,"okres Tvrdošín",Zuberec,Zuberec,"OREA, s.r.o.","Dolný Kubín"
JuvALHP6cN9,"2-room apartment",56,2446.43,"partially renovated","upper floor",3,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
Jue47kLBSm8,"3-room apartment",202,1430.69,"new construction","upper floor",5,yes,NULL,NULL,NULL,NULL,NULL,NULL,"okres Čadca",Čadca,Centrum,"Vianema s.r.o.",Bratislava
Jui14FUG-ZO,"3-room apartment",76,NULL,"partially renovated",NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL,"okres Turčianske Teplice",Rakša,Rakša,"TUreality s.r.o.",Žilina
JuFpZug_t62,"1-room apartment",31,3770.97,"new construction","upper floor",4,NULL,2023,A,NULL,yes,yes,NULL,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"TRI LIPY, s. r. o.",Čadca
JuUnWH-g8Yz,"3-room apartment",109,2461.12,"new construction","upper floor",3,yes,2009,NULL,NULL,NULL,NULL,NULL,"okres Žilina",Žilina,"Staré mesto","Realitné kancelárie SR",Bratislava
