offer_id,agency,office_city,location_district,location_city,location_area
JuLecgRv95A,"RES GROUP, s.r.o.",Žilina,"okres Žilina",Žilina,Bôrik
JuzjcjA88fI,"Fortio Popper s.r.o.",Bytča,"okres Bytča",Bytča,"Veľká Bytča"
JuR9IQwr1DX,"MGM reality",Žilina,"okres Žilina",Žilina,Hliny
JueQeTeryjC,NULL,NULL,"okres Dolný Kubín","Dolný Kubín",Brezovec
JufbBHYx-coz,"AstonReal s.r.o.","Banská Bystrica","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto"
JusEglMU0v8,"HD reality group s.r.o","Banská Bystrica","okres Martin",Martin,Jahodníky
JuHU9WStTAs,"B10 Slovensko, a. s.",Žilina,"okres Martin",Necpaly,Necpaly
Ju-48631_aJ,"RK Dalmia s. r. o.","Dolný Kubín","okres Dolný Kubín","Dolný Kubín","Veľký Bysterec"
JujzGN4k6bn,"Reality Alpia",Martin,"okres Martin",Martin,Sever
JuyUZh4v08L,NULL,NULL,"okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka
Ju9d7v-lee8,"OREA, s.r.o.","Dolný Kubín","okres Tvrdošín",Zuberec,Zuberec
JuvALHP6cN9,"Safe reality s. r. o.",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju8a3kcGYvG,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Dolný Kubín","Dolný Kubín",Brezovec
Jue47kLBSm8,"Vianema s.r.o.",Bratislava,"okres Čadca",Čadca,Centrum
JucquL8E-bM,NULL,NULL,"okres Martin",Martin,Stred
Jui14FUG-ZO,"TUreality s.r.o.",Žilina,"okres Turčianske Teplice",Rakša,Rakša
JuTiIF5zkxo3,"VAŠA REALITKA s.r.o.",Ružomberok,"okres Dolný Kubín","Dolný Kubín",Záskalie
JuFpZug_t62,"TRI LIPY, s. r. o.",Čadca,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence
JuUnWH-g8Yz,"Realitné kancelárie SR",Bratislava,"okres Žilina",Žilina,"Staré mesto"
JuUCL8fPL9h,"FINREA - ak vám záleží na výsledku","Dolný Kubín","okres Martin",Vrútky,"Horné Vrútky"
JuV8a82JG_s,NULL,NULL,"okres Žilina",Žilina,"Staré mesto"
JuvjDSTvTKy,"GAMA Reality, s.r.o.",Bytča,"okres Bytča","Veľké Rovné","Veľké Rovné"
Ju3gs_noUEz,NULL,NULL,"okres Čadca","Krásno nad Kysucou",Kalinov
JuXcyij9eMf_,"Financial Hotels Management, s.r.o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
JufYiP4E7Es,"ROMDOM, s. r. o",Žilina,"okres Žilina",Žilina,Hliny
JuKkjtqN4VW,"RE/MAX Slovakia",Bratislava,"okres Martin",Martin,Stred
JuH-SEIASle,"ODEKO manažment s.r.o.",Žilina,"okres Ružomberok",Ružomberok,Roveň
Ju_IBACCGzT,"Vianema s.r.o.",Bratislava,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
Ju_7fjs1rDI,"RK SPIRIT s.r.o.","Liptovský Mikuláš","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia"
JuO3IQpQk2Q,"SLNOVRAT, s.r.o.",Olešná,"okres Čadca",Makov,Makov
JukCOBdi-HG,"RIEŠIME BÝVANIE",Bratislava,"okres Žilina",Žilina,Vlčince
JuatrleUyRX,"AstonReal s.r.o.","Banská Bystrica","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny
JuqBZCEixbC,"Reality Alpia",Martin,"okres Žilina",Žilina,Hliny
JuCuiefKh4P,Reality+,Žilina,"okres Martin",Martin,Priekopa
JucFUY5N5xW,"TARGETreal s. r. o.",Žilina,"okres Martin",Martin,Priekopa
JuSPwAqNDjb,"OREA, s.r.o.","Dolný Kubín","okres Ružomberok",Ružomberok,Hrabovo
JujrtOK9Ltj,"Safe reality s. r. o.",Žilina,"okres Žilina",Žilina,"Staré mesto"
Ju2TzdFfXkg,"Renovo Reality",Žilina,"okres Žilina",Žilina,"Staré mesto"
JuVO5WLrTZ3,"Safe reality s. r. o.",Žilina,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko
JuC08OMa82u,"RIEŠIME BÝVANIE",Bratislava,"okres Žilina",Žilina,Hájik
Jupw1bQT1Jh,"Reinoo a.s.",Žilina,"okres Žilina",Žilina,Vlčince
